Name,Critic_Score,Developer
NBA 2K14,87,Visual Concepts
Skylanders Giants,78,Toys for Bob
Deca Sports,50,CAProduction
Marvel: Ultimate Alliance,82,Raven Software
Mortal Kombat: Deadly Alliance,79,Midway
Game Party,25,Midway
Bloodborne,92,From Software
Mario Party 4,70,Hudson
Pure,85,Black Rock Studio
Rock Band,92,Harmonix Music Systems
NBA 2K13,90,Visual Concepts
Saints Row: The Third,82,Volition Inc.
Resistance 2,87,Insomniac Games
NBA 2K15,83,Visual Concepts
Final Fantasy Tactics,83,SquareSoft
Midnight Club: Los Angeles,82,Rockstar San Diego
The Sims: Bustin' Out,81,Maxis
LEGO Harry Potter: Years 1-4,79,Traveller's Tales
Call of Duty: Infinite Warfare,78,Infinity Ward
Madden NFL 16,84,EA Sports
Tom Clancy's Rainbow Six: Vegas 2,82,Ubisoft Montreal
Need for Speed Carbon: Own the City,73,EA Canada
Dragon Ball Z: Budokai 2,66,Dimps Corporation
pro evolution soccer 2011,77,Konami
ATV Offroad Fury,82,Rainbow Studios
Need for Speed: ProStreet,62,Black Box
Halo: Combat Evolved Anniversary,82,343 Industries
Guitar Hero,91,Harmonix Music Systems
Madden NFL 11,83,EA Tiburon
Dead Island,71,Techland
Half-Life 2,96,Valve Software
The Incredibles,62,Heavy Iron Studios
Madden NFL 08,85,EA Tiburon
Tony Hawk's Underground 2,83,Neversoft Entertainment
Zumba Fitness,42,"Pipeworks Software, Inc."
Madden NFL 10,85,EA Tiburon
Midnight Club: Los Angeles,81,Rockstar San Diego
Kinect: Disneyland Adventures,73,Frontier Developments
WWE SmackDown vs Raw 2008,71,Yuke's
The Legend of Zelda: Majora's Mask 3D,89,GREZZO
LEGO Indiana Jones: The Original Adventures,78,Traveller's Tales
Resident Evil - Code: Veronica X,84,Capcom
NBA 2K16,86,Visual Concepts
Kinect Sports: Season Two,66,"Rare Ltd., BigPark"
James Bond 007: Everything or Nothing,84,EA Redwood Shores
Need For Speed: High Stakes,86,EA Canada
Guild Wars 2,90,ArenaNet
Paper Mario: Sticker Star,75,Intelligent Systems
Batman: Arkham Origins,76,WB Games Montreal
LEGO Star Wars: The Complete Saga,80,Traveller's Tales
Need for Speed Underground 2,77,EA Canada
Pro Evolution Soccer 2010,78,Konami
FIFA Soccer 09,82,EA Canada
LEGO Harry Potter: Years 1-4,72,TT Fusion
The Sims 3,76,The Sims Studio
Pokemon Ranger: Shadows of Almia,68,"HAL Labs, Creatures Inc."
Dead Island,71,Techland
Kirby: Nightmare in Dream Land,81,HAL Labs
Wario Land 4,88,Nintendo
Sonic's Ultimate Genesis Collection,80,Backbone Entertainment
Far Cry: Primal,76,Ubisoft Montreal
Battlefield 1,87,EA DICE
Onimusha 2: Samurai's Destiny,84,Capcom
Paper Mario: The Thousand-Year Door,87,Intelligent Systems
Madden NFL 12,79,EA Tiburon
God of War: Ascension,80,SCE Santa Monica
Guitar Hero III: Legends of Rock,83,Neversoft Entertainment
Sonic Advance,87,Sonic Team
Super Monkey Ball: Banana Blitz,74,Sega
Call of Duty 3,69,Exakt
New Super Luigi U,77,Nintendo
Spyro: Season of Ice,74,Digital Eclipse
Dissidia: Final Fantasy,79,Square Enix
Madden NFL 25,80,EA Sports
Borderlands 2,91,Gearbox Software
Prince of Persia: The Sands of Time,92,Ubisoft
Monster Hunter Tri,84,Capcom
LEGO Marvel Super Heroes,80,TT Games
Tom Clancy's Rainbow Six: Siege,73,Ubisoft Montreal
Star Wars: The Force Unleashed,71,LucasArts
Guitar Hero II,92,Harmonix Music Systems
Forza Motorsport 5,79,Turn 10
Rock Band 2,92,Harmonix Music Systems
Need for Speed: Hot Pursuit,88,Criterion Games
LEGO Indiana Jones: The Original Adventures,80,TT Fusion
BioShock 2,88,2K Marin
Star Wars: Knights of the Old Republic,94,BioWare
Madden NFL 15,81,EA Sports
Pro Evolution Soccer 2012,80,Konami
Saints Row,81,Volition Inc.
ATV Offroad Fury 2,82,Rainbow Studios
FIFA 15,82,EA Sports
Tom Clancy's The Division,80,Massive Entertainment
Final Fantasy XIII,82,Square Enix
The Sims: House Party,74,Maxis
Scribblenauts,79,5TH Cell
Sonic Unleashed,66,Sonic Team
Pokemon Ranger,69,HAL Labs
Overwatch,90,Blizzard Entertainment
Hitman: Absolution,83,Io Interactive
Call of Duty: Roads to Victory,64,Amaze Entertainment
Dance Dance Revolution Extreme,77,KCET
Final Fantasy Tactics Advance,87,Square Enix
Your Shape featuring Jenny McCarthy,62,Ubisoft
Project Gotham Racing,85,Bizarre Creations
NBA 2K12,90,Visual Concepts
Need for Speed: Hot Pursuit 2,89,Black Box
Dynasty Warriors 4,78,Omega Force
NBA 2K14,84,Visual Concepts
Parasite Eve,81,SquareSoft
Tetris DS,84,Nintendo
Battlefield: Hardline,73,Visceral Games
Mortal Kombat,86,NetherRealm Studios
Borderlands,83,Gearbox Software
Devil May Cry 3: Dante's Awakening,84,Capcom
NBA 2K11,89,Visual Concepts
Dying Light,74,Techland
Dead Rising,85,Capcom
World of Warcraft: Cataclysm,90,Blizzard Entertainment
Tetris Worlds,44,Blue Planet Software
Final Fantasy III,77,Matrix Software
Mario Party 5,69,Hudson
Rock Band,80,Harmonix Music Systems
Portal 2,95,Valve Software
Mario Sports Mix,64,Square Enix
Need for Speed: Most Wanted 5-1-0,72,EA Canada
The Sims 2: Pets,49,Full Fat
Dance Dance Revolution: Hottest Party,73,Konami
DriveClub,71,Evolution Studios
UFC 2009 Undisputed,83,Yuke's
Metal Gear Solid: Peace Walker,89,Kojima Productions
R4: Ridge Racer Type 4,88,Namco
Kingdom Hearts: Birth by Sleep,82,Square Enix
SoulCalibur II,92,Namco
Need for Speed: ProStreet,72,EA Black Box
Sonic Mega Collection,75,Sonic Team
Need For Speed: Undercover,59,EA Vancouver
SOCOM: U.S. Navy SEALs: Combined Assault,72,Zipper Interactive
Peter Jackson's King Kong: The Official Game of the Movie,82,Ubisoft Montpellier
Need for Speed: ProStreet,73,EA Black Box
Donkey Kong Country,78,Rare Ltd.
Dance Central 2,86,Harmonix Music Systems
Carnival Games,48,Cat Daddy Games
NBA Live 2004,86,EA Sports
Call of Duty 2,89,Infinity Ward
Rayman Raving Rabbids: TV Party,73,"Ubisoft Paris, Ubisoft Montpellier"
